band,theme,pain_density,n_evidence,avg_relevance_pct,worst_satisfaction,best_pos_sat,under_served_factor,meshnode_solve,gap_score,recommended_sku
C · €150-220 (中价),stability_handoff,61.28804622295048,20,7.148137374126667,-1.6382978723404256,1.875,0.0625,0.7,2.6813520222540834,主力轨 / 溢价轨 - 撕中价位
C · €150-220 (中价),coverage_dead_zone,64.2444578395815,10,10.920538374118232,-1.3375,1.875,0.0625,0.6,2.409167168984306,主力轨 / 溢价轨 - 撕中价位
A · sub-€90 (入门),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483,攻击轨 3-pack 攻击价
E · €330+ (顶级),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483,(不参战 — spec 攻不上去)
D · €220-330 (高端),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483,(不主攻 — brand-locked 用户)
B · €90-150 (中低),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483,主力轨 单件 + 套装
E · €330+ (顶级),coverage_dead_zone,25.158657621121346,12,7.904872318077771,-1.3375,1.875,0.0625,0.6,0.9434496607920504,(不参战 — spec 攻不上去)
C · €150-220 (中价),setup_app_complex,29.630107393549586,6,5.193592740663548,-1.4565217391304348,1.875,0.0625,0.4,0.7407526848387397,主力轨 / 溢价轨 - 撕中价位
D · €220-330 (高端),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103,(不主攻 — brand-locked 用户)
B · €90-150 (中低),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103,主力轨 单件 + 套装
E · €330+ (顶级),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103,(不参战 — spec 攻不上去)
C · €150-220 (中价),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103,主力轨 / 溢价轨 - 撕中价位
A · sub-€90 (入门),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103,攻击轨 3-pack 攻击价
D · €220-330 (高端),coverage_dead_zone,16.68288189983664,10,8.048721033190333,-1.3375,1.875,0.0625,0.6,0.625608071243874,(不主攻 — brand-locked 用户)
A · sub-€90 (入门),throughput_wired_bottleneck,17.45390394077556,8,5.653112396808002,-1.2592592592592593,1.875,0.0625,0.5,0.5454344981492363,攻击轨 3-pack 攻击价
